2020/04/28 20:54:41.552 INFO  [main] main.go:342: start...
2020/04/28 20:54:41.652 INFO  [main] main.go:317: [RECV] mode=2, sn=0, rtt=79
2020/04/28 20:54:41.686 INFO  [main] main.go:317: [RECV] mode=2, sn=1, rtt=93
2020/04/28 20:54:41.706 INFO  [main] main.go:317: [RECV] mode=2, sn=2, rtt=93
2020/04/28 20:54:41.714 INFO  [main] main.go:317: [RECV] mode=2, sn=3, rtt=81
2020/04/28 20:54:41.764 INFO  [main] main.go:317: [RECV] mode=2, sn=4, rtt=111
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=5, rtt=262
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=6, rtt=243
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=7, rtt=223
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=8, rtt=203
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=9, rtt=183
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=10, rtt=163
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=11, rtt=143
2020/04/28 20:54:41.935 INFO  [main] main.go:317: [RECV] mode=2, sn=12, rtt=123
2020/04/28 20:54:41.938 INFO  [main] main.go:317: [RECV] mode=2, sn=13, rtt=106
2020/04/28 20:54:41.958 INFO  [main] main.go:317: [RECV] mode=2, sn=14, rtt=106
2020/04/28 20:54:41.993 INFO  [main] main.go:317: [RECV] mode=2, sn=15, rtt=121
2020/04/28 20:54:41.993 INFO  [main] main.go:317: [RECV] mode=2, sn=16, rtt=101
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=17, rtt=234
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=18, rtt=214
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=19, rtt=194
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=20, rtt=173
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=21, rtt=153
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=22, rtt=133
2020/04/28 20:54:42.147 INFO  [main] main.go:317: [RECV] mode=2, sn=23, rtt=113
2020/04/28 20:54:42.149 INFO  [main] main.go:317: [RECV] mode=2, sn=24, rtt=96
2020/04/28 20:54:42.199 INFO  [main] main.go:317: [RECV] mode=2, sn=25, rtt=125
2020/04/28 20:54:42.216 INFO  [main] main.go:317: [RECV] mode=2, sn=26, rtt=122
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=27, rtt=230
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=28, rtt=210
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=29, rtt=190
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=30, rtt=170
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=31, rtt=150
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=32, rtt=129
2020/04/28 20:54:42.342 INFO  [main] main.go:317: [RECV] mode=2, sn=33, rtt=109
2020/04/28 20:54:42.361 INFO  [main] main.go:317: [RECV] mode=2, sn=34, rtt=108
2020/04/28 20:54:42.367 INFO  [main] main.go:317: [RECV] mode=2, sn=35, rtt=95
2020/04/28 20:54:42.406 INFO  [main] main.go:317: [RECV] mode=2, sn=36, rtt=113
2020/04/28 20:54:42.425 INFO  [main] main.go:317: [RECV] mode=2, sn=37, rtt=113
2020/04/28 20:54:42.454 INFO  [main] main.go:317: [RECV] mode=2, sn=38, rtt=122
2020/04/28 20:54:42.454 INFO  [main] main.go:317: [RECV] mode=2, sn=39, rtt=102
2020/04/28 20:54:42.467 INFO  [main] main.go:317: [RECV] mode=2, sn=40, rtt=94
2020/04/28 20:54:42.487 INFO  [main] main.go:317: [RECV] mode=2, sn=41, rtt=94
2020/04/28 20:54:42.534 INFO  [main] main.go:317: [RECV] mode=2, sn=42, rtt=121
2020/04/28 20:54:42.688 INFO  [main] main.go:317: [RECV] mode=2, sn=43, rtt=256
2020/04/28 20:54:42.688 INFO  [main] main.go:317: [RECV] mode=2, sn=44, rtt=236
2020/04/28 20:54:42.739 INFO  [main] main.go:317: [RECV] mode=2, sn=45, rtt=267
2020/04/28 20:54:42.739 INFO  [main] main.go:317: [RECV] mode=2, sn=46, rtt=246
2020/04/28 20:54:42.739 INFO  [main] main.go:317: [RECV] mode=2, sn=47, rtt=226
