2020/05/21 17:06:21.228 INFO  [main] main.go:342: start...
2020/05/21 17:06:21.343 INFO  [main] main.go:317: [RECV] mode=2, sn=0, rtt=96
2020/05/21 17:06:21.385 INFO  [main] main.go:317: [RECV] mode=2, sn=1, rtt=118
2020/05/21 17:06:21.407 INFO  [main] main.go:317: [RECV] mode=2, sn=2, rtt=120
2020/05/21 17:06:21.420 INFO  [main] main.go:317: [RECV] mode=2, sn=3, rtt=113
2020/05/21 17:06:21.443 INFO  [main] main.go:317: [RECV] mode=2, sn=4, rtt=116
2020/05/21 17:06:21.459 INFO  [main] main.go:317: [RECV] mode=2, sn=5, rtt=112
2020/05/21 17:06:21.479 INFO  [main] main.go:317: [RECV] mode=2, sn=6, rtt=111
2020/05/21 17:06:21.504 INFO  [main] main.go:317: [RECV] mode=2, sn=7, rtt=117
2020/05/21 17:06:21.522 INFO  [main] main.go:317: [RECV] mode=2, sn=8, rtt=115
2020/05/21 17:06:21.534 INFO  [main] main.go:317: [RECV] mode=2, sn=9, rtt=106
2020/05/21 17:06:21.559 INFO  [main] main.go:317: [RECV] mode=2, sn=10, rtt=111
2020/05/21 17:06:21.571 INFO  [main] main.go:317: [RECV] mode=2, sn=11, rtt=103
2020/05/21 17:06:21.608 INFO  [main] main.go:317: [RECV] mode=2, sn=12, rtt=120
2020/05/21 17:06:21.608 INFO  [main] main.go:317: [RECV] mode=2, sn=13, rtt=101
2020/05/21 17:06:21.647 INFO  [main] main.go:317: [RECV] mode=2, sn=14, rtt=120
2020/05/21 17:06:21.652 INFO  [main] main.go:317: [RECV] mode=2, sn=15, rtt=105
2020/05/21 17:06:21.678 INFO  [main] main.go:317: [RECV] mode=2, sn=16, rtt=110
2020/05/21 17:06:21.699 INFO  [main] main.go:317: [RECV] mode=2, sn=17, rtt=112
2020/05/21 17:06:21.716 INFO  [main] main.go:317: [RECV] mode=2, sn=18, rtt=108
2020/05/21 17:06:21.740 INFO  [main] main.go:317: [RECV] mode=2, sn=19, rtt=112
2020/05/21 17:06:21.759 INFO  [main] main.go:317: [RECV] mode=2, sn=20, rtt=111
2020/05/21 17:06:21.769 INFO  [main] main.go:317: [RECV] mode=2, sn=21, rtt=100
2020/05/21 17:06:21.802 INFO  [main] main.go:317: [RECV] mode=2, sn=22, rtt=115
2020/05/21 17:06:21.829 INFO  [main] main.go:317: [RECV] mode=2, sn=23, rtt=121
2020/05/21 17:06:21.844 INFO  [main] main.go:317: [RECV] mode=2, sn=24, rtt=116
2020/05/21 17:06:21.850 INFO  [main] main.go:317: [RECV] mode=2, sn=25, rtt=103
2020/05/21 17:06:21.874 INFO  [main] main.go:317: [RECV] mode=2, sn=26, rtt=106
2020/05/21 17:06:21.907 INFO  [main] main.go:317: [RECV] mode=2, sn=27, rtt=120
2020/05/21 17:06:21.920 INFO  [main] main.go:317: [RECV] mode=2, sn=28, rtt=112
2020/05/21 17:06:21.944 INFO  [main] main.go:317: [RECV] mode=2, sn=29, rtt=117
2020/05/21 17:06:21.960 INFO  [main] main.go:317: [RECV] mode=2, sn=30, rtt=113
2020/05/21 17:06:21.968 INFO  [main] main.go:317: [RECV] mode=2, sn=31, rtt=100
2020/05/21 17:06:22.005 INFO  [main] main.go:317: [RECV] mode=2, sn=32, rtt=117
2020/05/21 17:06:22.026 INFO  [main] main.go:317: [RECV] mode=2, sn=33, rtt=119
2020/05/21 17:06:22.046 INFO  [main] main.go:317: [RECV] mode=2, sn=34, rtt=119
2020/05/21 17:06:22.069 INFO  [main] main.go:317: [RECV] mode=2, sn=35, rtt=121
2020/05/21 17:06:22.082 INFO  [main] main.go:317: [RECV] mode=2, sn=36, rtt=114
2020/05/21 17:06:22.095 INFO  [main] main.go:317: [RECV] mode=2, sn=37, rtt=108
2020/05/21 17:06:22.114 INFO  [main] main.go:317: [RECV] mode=2, sn=38, rtt=107
2020/05/21 17:06:22.148 INFO  [main] main.go:317: [RECV] mode=2, sn=39, rtt=120
2020/05/21 17:06:22.148 INFO  [main] main.go:317: [RECV] mode=2, sn=40, rtt=100
2020/05/21 17:06:22.179 INFO  [main] main.go:317: [RECV] mode=2, sn=41, rtt=111
2020/05/21 17:06:22.203 INFO  [main] main.go:317: [RECV] mode=2, sn=42, rtt=115
2020/05/21 17:06:22.218 INFO  [main] main.go:317: [RECV] mode=2, sn=43, rtt=111
2020/05/21 17:06:22.228 INFO  [main] main.go:317: [RECV] mode=2, sn=44, rtt=100
2020/05/21 17:06:22.252 INFO  [main] main.go:317: [RECV] mode=2, sn=45, rtt=103
2020/05/21 17:06:22.281 INFO  [main] main.go:317: [RECV] mode=2, sn=46, rtt=113
2020/05/21 17:06:22.294 INFO  [main] main.go:317: [RECV] mode=2, sn=47, rtt=106
2020/05/21 17:06:22.332 INFO  [main] main.go:317: [RECV] mode=2, sn=48, rtt=124
2020/05/21 17:06:22.332 INFO  [main] main.go:317: [RECV] mode=2, sn=49, rtt=104
2020/05/21 17:06:22.366 INFO  [main] main.go:317: [RECV] mode=2, sn=50, rtt=119
2020/05/21 17:06:22.366 INFO  [main] main.go:317: [RECV] mode=2, sn=51, rtt=99
2020/05/21 17:06:22.400 INFO  [main] main.go:317: [RECV] mode=2, sn=52, rtt=111
2020/05/21 17:06:22.415 INFO  [main] main.go:317: [RECV] mode=2, sn=53, rtt=108
2020/05/21 17:06:22.435 INFO  [main] main.go:317: [RECV] mode=2, sn=54, rtt=107
2020/05/21 17:06:22.459 INFO  [main] main.go:317: [RECV] mode=2, sn=55, rtt=111
2020/05/21 17:06:22.481 INFO  [main] main.go:317: [RECV] mode=2, sn=56, rtt=113
2020/05/21 17:06:22.485 INFO  [main] main.go:317: [RECV] mode=2, sn=57, rtt=97
2020/05/21 17:06:22.516 INFO  [main] main.go:317: [RECV] mode=2, sn=58, rtt=107
2020/05/21 17:06:22.539 INFO  [main] main.go:317: [RECV] mode=2, sn=59, rtt=110
2020/05/21 17:06:22.562 INFO  [main] main.go:317: [RECV] mode=2, sn=60, rtt=114
2020/05/21 17:06:22.575 INFO  [main] main.go:317: [RECV] mode=2, sn=61, rtt=107
2020/05/21 17:06:22.602 INFO  [main] main.go:317: [RECV] mode=2, sn=62, rtt=114
2020/05/21 17:06:22.620 INFO  [main] main.go:317: [RECV] mode=2, sn=63, rtt=112
2020/05/21 17:06:22.644 INFO  [main] main.go:317: [RECV] mode=2, sn=64, rtt=117
2020/05/21 17:06:22.658 INFO  [main] main.go:317: [RECV] mode=2, sn=65, rtt=111
2020/05/21 17:06:22.677 INFO  [main] main.go:317: [RECV] mode=2, sn=66, rtt=110
2020/05/21 17:06:22.695 INFO  [main] main.go:317: [RECV] mode=2, sn=67, rtt=108
2020/05/21 17:06:22.723 INFO  [main] main.go:317: [RECV] mode=2, sn=68, rtt=116
2020/05/21 17:06:22.741 INFO  [main] main.go:317: [RECV] mode=2, sn=69, rtt=114
2020/05/21 17:06:22.765 INFO  [main] main.go:317: [RECV] mode=2, sn=70, rtt=117
2020/05/21 17:06:22.788 INFO  [main] main.go:317: [RECV] mode=2, sn=71, rtt=120
2020/05/21 17:06:22.790 INFO  [main] main.go:317: [RECV] mode=2, sn=72, rtt=103
2020/05/21 17:06:22.816 INFO  [main] main.go:317: [RECV] mode=2, sn=73, rtt=108
2020/05/21 17:06:22.832 INFO  [main] main.go:317: [RECV] mode=2, sn=74, rtt=104
2020/05/21 17:06:22.857 INFO  [main] main.go:317: [RECV] mode=2, sn=75, rtt=109
2020/05/21 17:06:22.887 INFO  [main] main.go:317: [RECV] mode=2, sn=76, rtt=119
2020/05/21 17:06:22.906 INFO  [main] main.go:317: [RECV] mode=2, sn=77, rtt=117
2020/05/21 17:06:22.913 INFO  [main] main.go:317: [RECV] mode=2, sn=78, rtt=105
2020/05/21 17:06:22.940 INFO  [main] main.go:317: [RECV] mode=2, sn=79, rtt=112
2020/05/21 17:06:22.964 INFO  [main] main.go:317: [RECV] mode=2, sn=80, rtt=117
2020/05/21 17:06:22.982 INFO  [main] main.go:317: [RECV] mode=2, sn=81, rtt=115
2020/05/21 17:06:22.996 INFO  [main] main.go:317: [RECV] mode=2, sn=82, rtt=108
2020/05/21 17:06:23.020 INFO  [main] main.go:317: [RECV] mode=2, sn=83, rtt=113
2020/05/21 17:06:23.024 INFO  [main] main.go:317: [RECV] mode=2, sn=84, rtt=97
2020/05/21 17:06:23.060 INFO  [main] main.go:317: [RECV] mode=2, sn=85, rtt=112
2020/05/21 17:06:23.068 INFO  [main] main.go:317: [RECV] mode=2, sn=86, rtt=101
